爱不爱	abai
溜之乎也	lvhy
连战皆捷	lvjj
老之将至	lvjv
履职尽责	lvjz
屡战屡北	lvlb
屡战屡败	lvlb
连章累牍	lvld
良知良能	lvln
老着脸皮	lvlp
龙钟老态	lvlt
屡战屡胜	lvlu
临阵磨枪	lvmq
略知皮毛	lvpm
乱中取胜	lvqu
理直气壮	lvqv
连中三元	lvsy
乱坠天花	lvth
连枝同气	lvtq
临阵退缩	lvts
临阵脱逃	lvtt
留职停薪	lvtx
力争上流	lvul
力壮身强	lvuq
力争上游	lvuy
立锥之地	lvvd
笼中之鸟	lvvn
聊斋志异	lvvy
廉正无私	lvws
略知一二	lvye
罗织罪名	lvzm
临危不顾	lwbg
临文不讳	lwbh
临危不惧	lwbj
临危不乱	lwbl
露尾藏头	lwct
令闻广誉	lwgy
狼窝虎穴	lwhx
劳务出口	lwik
里外夹攻	lwjg
了无惧意	lwjy
力挽狂澜	lwkl
老王卖瓜	lwmg
利绾名牵	lwmq
了无牵挂	lwqg
老无所依	lwsy
临危受命	lwum
临危授命	lwum
了无生趣	lwuq
路无拾遗	lwuy
临危制变	lwvb
流亡政府	lwvf
了无长进	lwvj
嫠纬之忧	lwvy
漏网之鱼	lwvy
沦为笑柄	lwxb
临危下石	lwxu
另行安排	lxap
连续不断	lxbd
离乡背井	lxbj
离乡别井	lxbj
略显不足	lxbz
拉朽摧枯	lxck
联系电话	lxdh
冷血动物	lxdw
离析分崩	lxfb
林下风度	lxfd
流星飞电	lxfd
鸾翔凤集	lxfj
林下风气	lxfq
联系方式	lxfu
鸾翔凤翥	lxfv
龙翔凤舞	lxfw
驴心狗肺	lxgf
狼心狗肺	lxgf
连续光谱	lxgp
流行歌曲	lxgq
李下瓜田	lxgt
例行公事	lxgu
狼心狗行	lxgx
流星赶月	lxgy
龙行虎步	lxhb
炼虚合道	lxhd
柳巷花街	lxhj
龙骧虎视	lxhu
兰心蕙质	lxhv
联席会议	lxhy
流星掣电	lxid
漏泄春光	lxig
陆相沉积	lxij
立雪程门	lxim
流血成渠	lxiq
隆刑峻法	lxjf
劳心焦思	lxjs
令行禁止	lxjv
厉行节约	lxjy
镂心刻骨	lxkg
流行坎止	lxkv
劳形苦心	lxkx
离心离德	lxld
连下两城	lxli
劳心劳力	lxll
流血漂杵	lxpi
陋巷蓬门	lxpm
溜须拍马	lxpm
两袖清风	lxqf
怜新弃旧	lxqj
联系群众	lxqv
两厢情愿	lxqy
理性认识	lxru
履险如夷	lxry
兰新铁路	lxtl
另行通知	lxtv
联系实际	lxuj
两性生殖	lxuv
林下之风	lxvf
类型转换	lxvh
良性肿瘤	lxvl
旅行支票	lxvp
理想主义	lxvy
两小无猜	lxwc
恋新忘旧	lxwj
落下帷幕	lxwm
良性循环	lxxh
捋袖揎拳	lxxq
礼贤下士	lxxu
两心相悦	lxxy
怜香惜玉	lxxy
略逊一筹	lxyi
礼下于人	lxyr
联系业务	lxyw
离弦走板	lxzb
立业安邦	lyab
乐业安居	lyaj
立于不败	lybb
力有不逮	lybd
落英缤纷	lybf
良莠不分	lybf
络绎不绝	lybj
良莠不齐	lybq
领异标新	lybx
良莠不一	lyby
来也匆匆	lycc
镂月裁云	lycy
鲤鱼打挺	lydt
劳役地租	lydz
蓝牙耳机	lyej
略有耳闻	lyew
乱云飞渡	lyfd
劳燕分飞	lyff
掠影浮光	lyfg
龙吟凤哕	lyfh
另一方面	lyfm
龙跃凤鸣	lyfm
六月飞雪	lyfx
流言蜚语	lyfy
流言飞语	lyfy
陵移谷变	lygb
落叶归根	lygg
羚羊挂角	lygj
鲁阳挥戈	lyhg
老眼昏花	lyhh
烈焰红唇	lyhi
鲁阳挥日	lyhr
柳营花阵	lyhv
龙吟虎啸	lyhx
乱语胡言	lyhy
赖以成名	lyim
滥竽充数	lyiu
落雁沉鱼	lyiy
来样加工	lyjg
劳逸结合	lyjh
累月经年	lyjn
利用价值	lyjv
利益均沾	lyjv
临渊结网	lyjw
另眼看待	lykd
良药苦口	lykk
燎原烈火	lylh
礼义廉耻	lyli
伶牙俐齿	lyli
临崖勒马	lylm
冷言冷语	lyly
老爷们儿	lyme
泪眼朦胧	lyml
领域模型	lymx
冷眼旁观	lypg
来因去果	lyqg
另有其人	lyqr
另有企图	lyqt
两用人才	lyrc
理应如此	lyrc
冷言热语	lyry
老有所乐	lysl
狼烟四起	lysq
另有所图	lyst
另有所指	lysv
老有所终	lysv
老有所为	lysw
老有所学	lysx
老有所依	lysy
老有所养	lysy
聊以塞责	lysz
路远迢迢	lytt
龙御上宾	lyub
龙驭上宾	lyub
赖以生存	lyuc
卵与石斗	lyud
老于世故	lyug
礼仪之邦	lyvb
洛阳纸贵	lyvg
燎原之火	lyvh
落叶知秋	lyvq
滥用职权	lyvq
乐于助人	lyvr
燎原之势	lyvu
凌云壮志	lyvv
凌云之志	lyvv
临渊之羡	lyvx
牢狱之灾	lyvz
力有未逮	lywd
里应外合	lywh
赖以为生	lywu
泪眼汪汪	lyww
利诱威胁	lywx
乐以忘忧	lywy
冷眼相待	lyxd
另眼相待	lyxd
利益相关	lyxg
礼仪小姐	lyxj
另眼相看	lyxk
流于形式	lyxu
礼乐刑政	lyxv
利欲薰心	lyxx
利欲熏心	lyxx
临渊羡鱼	lyxy
留有余地	lyyd
另有隐情	lyyq
良有以也	lyyy
梨园子弟	lyzd
聊以自遣	lyzq
聊以卒岁	lyzs
聊以自慰	lyzw
聊以自娱	lyzy
麟子凤雏	lzfi
路在何方	lzhf
浪子回头	lzht
离子交换	lzjh
留作纪念	lzjn
量子力学	lzlx
列祖列宗	lzlz
论资排辈	lzpb
来踪去迹	lzqj
乐在其中	lzqv
烂醉如泥	lzrn
立足之地	lzvd
裸子植物	lzvw
立足未稳	lzww
晾在一边	lzyb
乱作一团	lzyt
狼子野心	lzyx
民安国泰	magt
没安好心	mahx
暮霭沉沉	maii
民安物阜	mawf
目标地址	mbdv
麻痹大意	mbdy
名不副实	mbfu
忙不过来	mbgl
面不改色	mbgs
民办公助	mbgv
漠不关心	mbgx
民办高校	mbgx
目别汇分	mbhf
目不交睫	mbjj
骂不绝口	mbjk
蛮不讲理	mbjl
貌不惊人	mbjr
民办教师	mbju
漫不经心	mbjx
命不久矣	mbjy
漫不经意	mbjy
密不可分	mbkf
妙不可言	mbky
民不聊生	mblu
明不明白	mbmb
没边没沿	mbmy
马勃牛溲	mbns
目不旁视	mbpu
名标青史	mbqu
漫步其中	mbqv
目不忍睹	mbrd
面壁思过	mbsg
密不通风	mbtf
密不透风	mbtf
马不停蹄	mbtt
目不识丁	mbud
明辨是非	mbuf
梦笔生花	mbuh
妙笔生花	mbuh
目不识书	mbuu
美不胜收	mbuu
木本水源	mbuy
命比纸薄	mbvb
目不转睛	mbvj
绵薄之力	mbvl
目不知书	mbvu
木本植物	mbvw
民不畏死	mbws
明白无误	mbww
名不虚得	mbxd
漠不相关	mbxg
名不虚传	mbxi
目不暇给	mbxj
目不暇接	mbxj
名不虚立	mbxl
目不斜视	mbxu
靡不有初	mbyi
木本油料	mbyl
买办资本	mbzb
满不在乎	mbzh
默不作声	mbzu
满不在意	mbzy
茅茨不翦	mcbj
面从背言	mcby
名词短语	mcdy
莫测高深	mcgu
谋财害命	mchm
蔓草荒烟	mchy
面从后言	mchy
蔓草难除	mcni
命词遣意	mcqy
命辞遣意	mcqy
茅茨土阶	mctj
名存实废	mcuf
名存实亡	mcuw
灭此朝食	mcvu
民粹主义	mcvy
莫此为甚	mcwu
谬采虚誉	mcxy
芒刺在背	mczb
摩擦阻力	mczl
芒刺在身	mczu
母慈子孝	mczx
末大不掉	mdbd
冒大不韪	mdbw
脉动电流	mddl
目的地址	mddv
酩酊大醉	mddz
命大福大	mdfd
摩顶放踵	mdfv
马到功成	mdgi
门当户对	mdhd
磨刀霍霍	mdhh
梦断魂劳	mdhl
门到户说	mdhu
没当回事	mdhu
买椟还珠	mdhv
梦断魂消	mdhx
目断魂销	mdhx
马到成功	mdig
矛盾重重	mdii
昧旦晨兴	mdix
目定口呆	mdkd
目瞪口呆	mdkd
卖刀买犊	mdmd
猛打猛冲	mdmi
明刀明枪	mdmq
满打满算	mdms
昧地瞒天	mdmt
没大没小	mdmx
木雕泥塑	mdns
明德慎罚	mduf
目瞪舌挢	mduj
耄耋之年	mdvn
摩顶至踵	mdvv
满地找牙	mdvy
灭顶之灾	mdvz
懵懂无知	mdwv
明德惟馨	mdwx
面带微笑	mdwx
面对现实	mdxu
磨而不磷	mebl
秘而不宣	mebx
满而不溢	meby
马尔代夫	medf
摩尔定律	medl
摩尔多瓦	medw
谋而后动	mehd
敏而好学	mehx
马尔萨斯	mess
买二送一	mesy
迷而知返	mevf
默而识之	mevv
卖儿鬻女	meyn
民富国强	mfgq
盲风怪雨	mfgy
命赴黄泉	mfhq
盲风晦雨	mfhy
满腹狐疑	mfhy
明罚敕法	mfif
卖富差贫	mfip
满腹经纶	mfjl
谋夫孔多	mfkd
满腹牢骚	mfls
每分每秒	mfmm
没法没天	mfmt
马放南山	mfnu
名副其实	mfqu
马翻人仰	mfry
眉飞色舞	mfsw
漫反射光	mfug
满腹诗书	mfuu
满腹珠玑	mfvj
免费午餐	mfwc
莫非王臣	mfwi
莫非王土	mfwt
满腹疑团	mfyt
眉飞眼笑	mfyx
偭规错矩	mgcj
美观大方	mgdf
没过多久	mgdj
目光短浅	mgdq
马革裹尸	mggu
鸣鼓攻之	mggv
迈古超今	mgij
马革盛尸	mgiu
暮鼓晨钟	mgiv
目光长远	mgiy
孟光举案	mgja
每个阶段	mgjd
目光炯炯	mgjj
名公巨人	mgjr
名高难副	mgnf
卖国求荣	mgqr
名过其实	mgqu
命该如此	mgrc
目光如豆	mgrd
目光如电	mgrd
目光如炬	mgrj
目光如鼠	mgru
玫瑰人生	mgru
毛骨悚然	mgsr
毛骨森竖	mgsu
名高天下	mgtx
马关条约	mgty
魔鬼身材	mguc
莫敢谁何	mguh
目光闪烁	mguu
明公正道	mgvd
美国政府	mgvf
明公正气	mgvq
目光灼灼	mgvv
暮虢朝虞	mgvy
美国之音	mgvy
慢工细活	mgxh
麻姑献寿	mgxu
卖狗悬羊	mgxy
莫过于此	mgyc
魔高一尺	mgyi
卖官鬻爵	mgyj
魔高一丈	mgyv
卖官鬻狱	mgyy
迷惑不解	mhbj
模糊不清	mhbq
梦魂颠倒	mhdd
门户洞开	mhdk
迷魂夺魄	mhdp
沐猴而冠	mheg
面红耳赤	mhei
蒙混过关	mhgg
沐猴冠冕	mhgm
没回过神	mhgu
幕后黑手	mhhu
闷海愁山	mhiu
面红颈赤	mhji
眠花藉柳	mhjl
面黄肌瘦	mhju
门户开放	mhkf
梦幻联动	mhld
穆罕默德	mhmd
民和年稔	mhnr
猛虎扑食	mhpu
梦幻泡影	mhpy
貌合情离	mhql
满汉全席	mhqx
眠花宿柳	mhsl
芒寒色正	mhsv
貌合神离	mhul
迷惑视听	mhut
模糊数学	mhux
没话找话	mhvh
门户之见	mhvj
明婚正配	mhvp
明婚正娶	mhvq
明火执仗	mhvv
门户之争	mhvv
眠花卧柳	mhwl
蛮横无理	mhwl
名花无主	mhwv
貌合心离	mhxl
猛虎下山	mhxu
满怀希望	mhxw
满怀信心	mhxx
迷魂淫魄	mhyp
名花有主	mhyv
眠花醉柳	mhzl
明察暗访	miaf
没齿不忘	mibw
谋朝篡位	micw
满城风雨	mify
磨杵成针	miiv
明窗净几	mijj
猛冲猛打	mimd
没齿难忘	minw
茅椽蓬牖	mipy
名垂千古	miqg
明察秋毫	miqh
名垂青史	miqu
面沉如水	miru
民淳俗厚	mish
曼彻斯特	mist
漫长岁月	misy
磨穿铁砚	mity
马齿徒增	mitz
名垂史册	miuc
名垂竹帛	mivb
暮楚朝秦	mivq
蛮触之争	mivv
命俦啸侣	mixl
目成心授	mixu
蛮触相争	mixv
目成心许	mixx
名垂宇宙	miyv
磨杵作针	mizv
摩肩挨背	mjab
靡坚不摧	mjbc
铭记不忘	mjbw
摩肩擦背	mjcb
摩肩擦踵	mjcv
目击道存	mjdc
没精打采	mjdc
摩加迪沙	mjdu
目见耳闻	mjew
明镜高悬	mjgx
摩肩接毂	mjjg
摩肩击毂	mjjg
民间疾苦	mjjk
摩肩继踵	mjjv
摩肩接踵	mjjv
敏捷开发	mjkf
孟加拉国	mjlg
美景良辰	mjli
名缰利锁	mjls
卖剑买牛	mjmn
昧己瞒心	mjmx
灭绝人性	mjrx
暮景桑榆	mjsy
门禁森严	mjsy
鸣金收兵	mjub
命蹇时乖	mjug
妙绝时人	mjur
梦见周公	mjvg
目睫之论	mjvl
马迹蛛丝	mjvs
墨迹未干	mjwg
明见万里	mjwl
马角乌头	mjwt
民间文学	mjwx
毛举细故	mjxg
末节细行	mjxx
觅迹寻踪	mjxz
毛将焉附	mjyf
民间音乐	mjyy
迷金醉纸	mjzv
铭记在心	mjzx
马可波罗	mkbl
满口答应	mkdy
梅开二度	mked
没看出来	mkil
蜜口剑腹	mkjf
莫可究诘	mkjj
门可罗雀	mklq
买空卖空	mkmk
莫可名状	mkmv
莫可奈何	mknh
马困人乏	mkrf
墨客骚人	mksr
民康物阜	mkwf
目空一切	mkyq
每况愈下	mkyx
眉开眼笑	mkyx
免开尊口	mkzk
明里暗里	mlal
明来暗去	mlaq
明来暗往	mlaw
马来半岛	mlbd
名列榜首	mlbu
妈拉巴子	mlbz
描鸾刺凤	mlcf
绵里藏针	mlcv
没来得及	mldj
美丽动人	mldr
满脸堆笑	mldx
脉络分明	mlfm
绵里裹针	mlgv
鸣锣喝道	mlhd
迷离恍惚	mlhh
茉莉花茶	mlhi
满脸横肉	mlhr
满脸春色	mlis
密锣紧鼓	mljg
明令禁止	mljv
鸣锣开道	mlkd
模棱两可	mllk
美轮美奂	mlmh
莽卤灭裂	mlml
没脸没皮	mlmp
忙里忙外	mlmw
抿了抿嘴	mlmz
面露难色	mlns
迷离扑朔	mlpu
名列前茅	mlqm
毛里求斯	mlqs
末路穷途	mlqt
名留青史	mlqu
马拉松赛	mlss
名落孙山	mlsu
满脸通红	mlth
忙里偷闲	mltx
蜜里调油	mlty
貌离神合	mluh
妙龄少女	mlun
名利双收	mluu
命里注定	mlvd
弥留之际	mlvj
末路之难	mlvn
米粒之珠	mlvv
满脸皱纹	mlvw
门闾之望	mlvw
马列主义	mlvy
蒙罗维亚	mlwy
目露凶光	mlxg
满脸笑容	mlxr
茂林修竹	mlxv
马路新闻	mlxw
马来西亚	mlxy
睦邻友好	mlyh
眉来眼去	mlyq
名流轶事	mlyu
明明白白	mmbb
绵绵不断	mmbd
绵绵不绝	mmbj
闷闷不乐	mmbl
麻木不仁	mmbr
摸门不着	mmbv
默默不语	mmby
磨磨蹭蹭	mmcc
满目苍凉	mmcl
明目达聪	mmdc
梦寐颠倒	mmdd
懵懵懂懂	mmdd
茫茫大海	mmdh
冒名顶替	mmdt
名门大族	mmdz
慕名而来	mmel
名目繁多	mmfd
默默奉献	mmfx
绵绵瓜瓞	mmgd
买卖公平	mmgp
名门闺秀	mmgx
默默耕耘	mmgy
满面红光	mmhg
马马虎虎	mmhh
迷迷糊糊	mmhh
明眸皓齿	mmhi
脉脉含情	mmhq
满面春风	mmif
漫漫长路	mmil
眉目传情	mmiq
美梦成真	mmiv
木马程序	mmix
满目疮痍	mmiy
面面俱到	mmjd
面目皆非	mmjf
灭门绝户	mmjh
磨磨叽叽	mmjj
美妙绝伦	mmjl
面目可憎	mmkz
秣马厉兵	mmlb
盲目乐观	mmlg
朦朦胧胧	mmll
忙忙碌碌	mmll
密密麻麻	mmmm
渺渺茫茫	mmmm
蒙面昧心	mmmx
没眉没眼	mmmy
满面怒容	mmnr
马面牛头	mmnt
面目全非	mmqf
莫名其故	mmqg
明末清初	mmqi
满目凄凉	mmql
莫名其妙	mmqm
勉勉强强	mmqq
满目青山	mmqu
貌美如花	mmrh
茫茫人海	mmrh
秣马蓐食	mmru
孟母三迁	mmsq
蒙面丧心	mmsx
慢慢吞吞	mmtt
名满天下	mmtx
名门世家	mmuj
明眸善睐	mmul
冒冒失失	mmuu
名门世族	mmuz
明目张胆	mmvd
买马招军	mmvj
面目狰狞	mmvn
明媒正娶	mmvq
靡靡之声	mmvu
冥冥之中	mmvv
靡靡之乐	mmvy
靡靡之音	mmvy
目迷五色	mmws
默默无声	mmwu
蒙昧无知	mmwv
默默无闻	mmww
默默无言	mmwy
默默无语	mmwy
名门望族	mmwz
面面相睹	mmxd
面面相觑	mmxq
满面笑容	mmxr
乜乜斜斜	mmxx
蒙蒙细雨	mmxy
命名约定	mmyd
梦寐以求	mmyq
慢慢悠悠	mmyy
名门右族	mmyz
密密匝匝	mmzz
毛毛躁躁	mmzz
卖弄聪明	mncm
卖弄风骚	mnfs
木讷寡言	mngy
马牛襟裾	mnjj
模拟考试	mnku
木牛流马	mnlm
蒙娜丽莎	mnlu
没弄明白	mnmb
买牛卖剑	mnmj
某年某月	mnmy
马牛其风	mnqf
美女如云	mnry
莫逆之交	mnvj
卖男鬻女	mnyn
莫逆于心	mnyx
美女簪花	mnzh
谋篇布局	mpbj
麻婆豆腐	mpdf
摸爬滚打	mpgd
满盘皆输	mpju
面朋口友	mpky
没皮没脸	mpml
满盘托出	mpti
母凭子贵	mpzg
磨破嘴皮	mpzp
明枪暗箭	mqaj
牟取暴利	mqbl
民穷财尽	mqcj
磨铅策蹇	mqcj
民穷财匮	mqck
摩拳擦掌	mqcv
谋权篡位	mqcw
面墙而立	mqel
鸣琴而治	mqev
明确规定	mqgd
民穷国困	mqgk
密切关注	mqgv
妙趣横生	mqhu
梅妻鹤子	mqhz
暮气沉沉	mqii
名卿巨公	mqjg
目前看来	mqkl
目前来看	mqlk
门前冷落	mqll
密切联系	mqlx
忙前忙后	mqmh
没轻没重	mqmv
没情没绪	mqmx
眉清目秀	mqmx
美其名曰	mqmy
满腔热忱	mqri
满腔热情	mqrq
满腔热血	mqrx
门前三包	mqsb
谋取私利	mqsl
麻雀虽小	mqsx
鸣枪示警	mquj
煤气中毒	mqvd
暮去朝来	mqvl
民权主义	mqvy
民情物理	mqwl
目前为止	mqwv
明确无误	mqww
密切相关	mqxg
明枪易躲	mqyd
卖妻鬻子	mqyz
茫然不解	mrbj
茫然不知	mrbv
盲人把烛	mrbv
默然不语	mrby
靡然从风	mrcf
美如冠玉	mrgy
面如冠玉	mrgy
尨眉皓发	mrhf
明日黄花	mrhh
蓦然回首	mrhu
靡然成风	mrif
美人迟暮	mrim
美容美发	mrmf
盲人扪烛	mrmv
盲人摸象	mrmx
面如满月	mrmy
没日没夜	mrmy
貌若潘安	mrpa
美人胚子	mrpz
穆如清风	mrqf
美人如玉	mrry
茫然四顾	mrsg
面若死灰	mrsh
面如死灰	mrsh
面如桃花	mrth
面如土色	mrts
貌若天仙	mrtx
美若天仙	mrtx
茫然失措	mruc
邈若山河	mruh
泯然众人	mrvr
明如指掌	mrvv
漠然置之	mrvv
茫然无措	mrwc
默然无声	mrwu
默然无言	mrwy
盲人瞎马	mrxm
命若悬丝	mrxs
名人效应	mrxy
马如游龙	mryl
美容养颜	mryy
茫然自失	mrzu
莫桑比克	msbk
暮色苍茫	mscm
茅塞顿开	msdk
名遂功成	msgi
毛森骨立	msgl
命丧黄泉	mshq
侔色揣称	msii
冥思苦索	msks
冥思苦想	mskx
墨索里尼	msln
枚速马工	msmg
面色如土	msrt
靡所适从	msuc
目送手挥	msuh
妙算神机	msuj
目所未睹	mswd
昧死以闻	msyw
毛遂自荐	mszj
明推暗就	mtaj
满头白发	mtbf
谋图不轨	mtbg
墨突不黔	mtbq
漫天蔽野	mtby
没头苍蝇	mtcy
满头大汗	mtdh
弥天大谎	mtdh
命途多舛	mtdi
摩天大楼	mtdl
摩天大厦	mtdu
弥天大罪	mtdz
漫天飞舞	mtfw
瞒天过海	mtgh
没头官司	mtgs
莫谈国事	mtgu
煤炭工业	mtgy
迷途羔羊	mtgy
埋头工作	mtgz
描头画角	mthj
漫天彻地	mtid
漫天叫价	mtjj
眉头紧锁	mtjs
埋头苦干	mtkg
瞒天昧地	mtmd
瞒天瞒地	mtmd
没头没脑	mtmn
门庭若市	mtru
漫天塞地	mtsd
慢条斯理	mtsl
没听说过	mtug
苗条淑女	mtun
名同实异	mtuy
迷途知返	mtvf
庙堂之上	mtvu
蒙头转向	mtvx
眉头微蹙	mtwc
满头雾水	mtwu
眉头微皱	mtwv
满天星斗	mtxd
幕天席地	mtxd
漫天要价	mtyj
眉头一皱	mtyv
买田阳羡	mtyx
名特优新	mtyx
漫天匝地	mtzd
民事案件	muaj
明升暗降	muaj
面是背非	mubf
名实不副	mubf
漫山遍岭	mubl
磨砂玻璃	mubl
悯时病俗	mubs
闷声不响	mubx
漫山遍野	muby
满山遍野	muby
民生凋敝	mudb
满身大汗	mudh
名山大川	mudi
妙手丹青	mudq
名声大振	mudv
名声大噪	mudz
扪虱而谈	muet
扪虱而言	muey
名士风流	mufl
民事法庭	muft
模山范水	mufu
名胜古迹	mugj
门生故吏	mugl
妙手回春	muhi
埋声晦迹	muhj
马上回来	muhl
墨守成法	muif
美声唱法	muif
墨守成规	muig
没事就好	mujh
面授机宜	mujy
马上看花	mukh
妙手空空	mukk
玛莎拉蒂	muld
麻省理工	mulg
满山满谷	mumg
马瘦毛长	mumi
毛手毛脚	mumj
每时每刻	mumk
闷声闷气	mumq
没上没下	mumx
瞒神弄鬼	mung
没世难忘	munw
妙手偶得	muod
模式匹配	mupp
民事权利	muql
马上墙头	muqt
马失前蹄	muqt
瞒上欺下	muqx
妙手仁心	murx
名声扫地	musd
漫山塞野	musy
茅室土阶	mutj
卖身投靠	mutk
猫鼠同眠	mutm
名山胜川	muui
末梢神经	muuj
名山胜水	muuu
马首是瞻	muuv
名山事业	muuy
暮史朝经	muvj
没事找事	muvu
蔓生植物	muvw
媒妁之言	muvy
面上无光	muwg
孟什维克	muwk
没世无闻	muww
眠霜卧雪	muwx
名声显赫	muxh
名实相称	muxi
慢声细语	muxy
马首欲东	muyd
面上有光	muyg
眉梢眼角	muyj
门衰祚薄	muzb
谋事在人	muzr
名声在外	muzw
明争暗斗	mvad
明珠暗投	mvat
明哲保身	mvbu
美中不足	mvbz
民主党派	mvdp
明正典刑	mvdx
铭诸肺腑	mvff
明知故犯	mvgf
民主改革	mvgg
民主革命	mvgm
明知故问	mvgw
忙中出错	mvic
磨砖成镜	mvij
美馔佳肴	mvjy
谬种流传	mvli
名正理顺	mvlu
猫捉老鼠	mvlu
昧着良心	mvlx
民脂民膏	mvmg
卖主求荣	mvqr
梦中情人	mvqr
目指气使	mvqu
默转潜移	mvqy
面折人过	mvrg
马壮人强	mvrq
民主人士	mvru
莫知所为	mvsw
面折庭争	mvtv
面折廷诤	mvtv
名震天下	mvtx
名重天下	mvtx
名至实归	mvug
民主生活	mvuh
瞄准射击	mvuj
梦中说梦	mvum
命中注定	mvvd
明智之举	mvvj
民主政治	mvvv
名震中外	mvvw
民主主义	mvvy
目中无人	mvwr
米珠薪桂	mvxg
忙中有错	mvyc
莫之与京	mvyj
名正言顺	mvyu
名重一时	mvyu
名震一时	mvyu
莫衷一是	mvyu
明珠薏苡	mvyy
某种意义	mvyy
磨砖作镜	mvzj
谋为不轨	mwbg
漫无边际	mwbj
冥顽不灵	mwbl
面无表情	mwbq
茅屋草舍	mwcu
茫无端绪	mwdx
目无法纪	mwfj
明文规定	mwgd
密纹唱片	mwip
明文禁止	mwjv
美味佳肴	mwjy
美味可口	mwkk
漫无目的	mwmd
没完没了	mwml
盲翁扪龠	mwmy
妙舞清歌	mwqg
勉为其难	mwqn
面无人色	mwrs
渺无人烟	mwry
民望所归	mwsg
茫无所知	mwsv
没问题啊	mwta
没问题吧	mwtb
名闻天下	mwtx
没问题呀	mwty
目无王法	mwwf
名闻遐迩	mwxe
目无下尘	mwxi
面无血色	mwxs
谋无遗策	mwyc
茫无涯际	mwyj
渺无音信	mwyx
渺无音讯	mwyx
目无余子	mwyz
门无杂宾	mwzb
门无杂客	mwzk
目无尊长	mwzv
明修暗度	mxad
某些东西	mxdx
面向对象	mxdx
明效大验	mxdy
末学肤受	mxfu
墨西哥城	mxgi
明线光谱	mxgp
墨西哥湾	mxgw
末学后进	mxhj
满心欢喜	mxhx
梦想成真	mxiv
明心见性	mxjx
铭心刻骨	mxkg
麦秀两歧	mxlq
没心没肺	mxmf
瞒心昧己	mxmj
目秀眉清	mxmq
没羞没臊	mxms
梦醒时分	mxuf
母系社会	mxuh
模型设计	mxuj
麦秀黍离	mxul
目眩神摇	mxuy
麦秀之悲	mxvb
明修栈道	mxvd
冒险主义	mxvy
民熙物阜	mxwf
面向未来	mxwl
毛细血管	mxxg
买笑寻欢	mxxh
买笑迎欢	mxyh
每下愈况	mxyk
木秀于林	mxyl
命悬一线	mxyx
慢性咽炎	mxyy
门下走狗	mxzg
扪心自问	mxzw
绵延不断	mybd
没有办法	mybf
贸易保护	mybh
绵延不绝	mybj
贸易壁垒	mybl
没有把握	mybw
美言不信	mybx
密云不雨	myby
没有必要	myby
民殷财阜	mycf
明扬侧陋	mycl
面有菜色	mycs
茅檐草舍	mycu
冒烟测试	mycu
民意测验	mycy
没有的话	mydh
命运多舛	mydi
明验大效	mydx
幕燕鼎鱼	mydy
莫予毒也	mydy
某一方面	myfm
民怨沸腾	myft
眉眼高低	mygd
民殷国富	mygf
贸易公司	mygs
名义工资	mygz
眯一会儿	myhe
满园春色	myis
木已成舟	myiv
每一句话	myjh
名言警句	myjj
鸣冤叫屈	myjq
妙语惊人	myjr
沐雨经霜	myju
民用建筑	myjv
妙语解颐	myjy
面有愧色	myks
明月芦花	mylh
妙语连珠	mylv
没有理由	myly
某月某日	mymr
贸易逆差	myni
面有难色	myns
抹月批风	mypf
卖淫嫖娼	mypi
明月清风	myqf
满眼凄凉	myql
谬以千里	myql
妙喻取譬	myqp
觅衣求食	myqu
民营企业	myqy
蛮夷戎狄	myrd
明月入怀	myrh
眉眼如画	myrh
媚眼如丝	myrs
妙语如珠	myrv
名誉扫地	mysd
名扬四海	mysh
买一送一	mysy
靡衣偷食	mytu
名扬天下	mytx
贸易顺差	myui
蒙冤受屈	myuq
漫游生物	myuw
麻衣神相	myux
沐雨栉风	myvf
蛮烟瘴雾	myvw
贸易中心	myvx
蛮烟瘴雨	myvy
暮雨朝云	myvy
莫与为比	mywb
贸易往来	mywl
没有问题	mywt
美玉无瑕	mywx
妙言要道	myyd
卖狱鬻官	myyg
美意延年	myyn
靡衣玉食	myyu
美衣玉食	myyu
蒙以养正	myyv
没有意义	myyy
母以子贵	myzg
磨牙凿齿	myzi
明扬仄陋	myzl
满足不了	mzbl
命在旦夕	mzdx
满载而归	mzeg
满坐风生	mzfu
民族服装	mzfv
民族复兴	mzfx
蒙在鼓里	mzgl
马足车尘	mzii
牟足了劲	mzlj
卖嘴料舌	mzlu
民族利益	mzly
民族矛盾	mzmd
没滋没味	mzmw
民族平等	mzpd
民族融合	mzrh
迷走神经	mzuj
迷踪失路	mzul
弥足珍贵	mzvg
民族之林	mzvl
命在朝夕	mzvx
民族主义	mzvy
民族文化	mzwh
帽子戏法	mzxf
民族学院	mzxy
民族压迫	mzyp
名噪一时	mzyu
民族英雄	mzyx
民族音乐	mzyy
民族资本	mzzb
民族自决	mzzj
民族自治	mzzv
南北对话	nbdh
诺贝尔奖	nbej
牛逼哄哄	nbhh
弄兵潢池	nbhi
拿不出手	nbiu
怒不可遏	nbke
鸟不拉屎	nblu
弄不明白	nbmb
内部矛盾	nbmd
女扮男装	nbnv
弄不清楚	nbqi
南北战争	nbvv
难辨真伪	nbvw
啮臂为盟	nbwm
拿班作势	nbzu
逆坂走丸	nbzw
逆阪走丸	nbzw
内存储器	nciq
男才女貌	ncnm
难辞其咎	ncqj
